name;description
R&ampTTE;Other chorioretinal scars, unspecified eye
Jenark;Labor and delivery comp by oth cord entangle, w compression
AKTA;Pre-existing type 1 diabetes, in pregnancy, third trimester
CSS Sprites;Tubal pregnancy
PIX;Burn of unspecified degree of right knee, sequela
Western Europe;Other sprain of right hip, sequela
OATS;Laceration without foreign body of oth part of neck, sequela
Defect Life Cycle;Corros unsp degree of single r finger except thumb, subs
FDR;Postproc hematoma of ear/mastd following other procedure
WPC;Nondisplaced comminuted fracture of unspecified patella
Athlete Development;Toxic effect of detergents, intentional self-harm, init
PDH;Other and unspecified water transport accidents
RDBMS;Unsp inj muscles and tendons at ank/ft level, r foot, init
GPGPU;Displaced transverse fracture of shaft of r fibula, sequela
WMI;Poisoning by oth drugs acting on muscles, undetermined, init
EEG;Displacmnt of nervous sys device, implant or graft, init
Logistics;Sprain of calcaneofibular ligament of unsp ankle, sequela
Autodesk Inventor;Other superficial bite of abdominal wall, initial encounter
RDMA;Unsp inj flexor musc/fasc/tend r rng fngr at forarm lv, sqla
EJB;Oth meniscus derang, ant horn of medial meniscus, r knee
CND;Injury of left uterine artery, initial encounter
HR Consulting;Disp fx of lateral epicondyl of l humer, 7thP
LTD;Sedatv/hyp/anxiolytc use, unsp w intoxication, unsp
Industrial Hygiene;Adverse effect of unsp drug/meds/biol subst
WBEM;War operations involving friendly fire, sequela
HDSL;Breakdown of unsp cardiac electronic device, init
Rubber;Nonexudative age-related mclr degn, unspecified eye
Luxury;Oth traum displ spondylolysis of sixth cervcal vert, 7thK
Localization;Hemiplga following cerebral infrc aff left dominant side
Red Hat Linux;Oligohydramnios, unspecified trimester, other fetus
Army;Oth fx upper end of unsp radius, init for opn fx type I/2
Mortgage Underwriting;Laceration with foreign body of nose, subsequent encounter
Qbasic;Disp fx of nk of 1st MC bone, unsp hand, 7thK
Vulnerability Scanning;Malignant neoplasm of major salivary gland, unspecified
Nintendo DS;Fracture of orbital floor, right side, 7thB
Risk Management;Partial traumatic trnsphal amputation of l idx fngr, subs
CBRN;Unsp mtrcy rider injured in clsn w pedl cyc nontraf, subs
Fund Accounting;Medial subluxation and dislocation of ulnohumeral joint
GML;Fall from oth rolling-type pedestrian conveyance, subs
Eplan;Monoplg low lmb fol ntrm intcrbl hemor aff right nondom side
VPython;Subluxation of C3/C4 cervical vertebrae, initial encounter
Secure FTP;Athscl nonaut bio bypass of the left leg w ulcer of thigh
Twitter Marketing;Poisoning by mixed bact vaccines w/o a pertuss, undet, subs
CVD;Matern care for or susp placntl insuff, third tri, fts4
Gift Cards;Disp fx of lateral condyle of r tibia, 7thB
Oilfield;Cont preg aft uterin dth of one fetus or more, 2nd tri, fts1
Sensory Evaluation;Monoplegia, unspecified affecting unspecified side
Ocular Disease;Speech/lang deficits following oth cerebrovascular disease
